1211009 

ToM0, ToM1, ToM2
59,1,0
60,0,0

 Dominance frequency 
0.9973394131019454,4.070978711176034E-4,0.0026622384107163354

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
5000,2500,2500
2500,5000,2500
5000,2500,2500
2500,10000,2500
2500,2500,2500
2500,10000,2500
2500,20000,2500
2500,20000,2500
5000,2500,2500
2500,27500,2500
15000,2500,7500
2500,2500,12500
25000,2500,7500
5000,2500,10000
2500,5000,15000
37500,47500,17500
2500,55000,2500
2500,52500,17500
2500,20000,22500
50000,35000,20000
2500,2500,27500
55000,2500,27500
57500,62500,32500
2500,42500,2500
55000,2500,32500
2500,25000,2500
2500,92500,22500
2500,20000,22500
2500,60000,20000
2500,55000,15000
2500,97500,40000
52500,50000,42500
75000,2500,2500
2500,2500,47500
2500,167500,15000
82500,7500,52500
2500,77500,52500
7500,32500,45000
2500,220000,65000
90000,232500,40000
10000,2500,10000
2500,107500,17500
72500,2500,2500
2500,30000,107500
2500,5000,107500
95000,102500,7500
2500,12500,2500
95000,282500,2500
67500,102500,120000
50000,240000,120000
2500,2500,85000
5000,2500,110000
17500,52500,2500
17500,192500,27500
2500,225000,65000
2500,425000,7500
115000,2500,10000
2500,2500,22500
77500,37500,127500
85000,35000,22500
117500,190000,145000
2500,72500,25000
5000,265000,25000
2500,5000,2500
77500,5000,2500
2500,450000,177500
32500,20000,230000
135000,247500,2500
142500,2500,2500
5000,32500,
2500,110000,
155000,15000,
132500,272500,
5000,2500,
182500,560000,
90000,292500,
132500,35000,
112500,,
127500,,
60000,,
70000,,
32500,,
127500,,
140000,,
5000,,
150000,,
2500,,
17500,,
2500,,
2500,,
202500,,
97500,,
7500,,
5000,,
2500,,
5000,,
72500,,
85000,,
2500,,
2500,,
2500,,
5000,,
120000,,
232500,,
2500,,
85000,,
190000,,
2500,,
2500,,
2500,,
2500,,
240000,,
162500,,
202500,,
2500,,
245000,,
157500,,
202500,,
5000,,
7500,,
2500,,
57500,,
2500,,
2500,,
17500,,
7500,,
2500,,
5000,,
70000,,
162500,,
67500,,
180000,,
70000,,
2500,,
2500,,
2500,,
2500,,
87500,,
2500,,
2500,,
302500,,
5000,,
142500,,
255000,,
2500,,
30000,,
205000,,
320000,,
187500,,
230000,,
2500,,
72500,,
2500,,
100000,,
347500,,
362500,,
110000,,
2500,,
27500,,
7500,,
282500,,
90000,,
140000,,
2500,,
365000,,
30000,,
127500,,
57500,,
62500,,
242500,,
2500,,
192500,,
2500,,
2500,,
2500,,
135000,,
247500,,
40000,,
132500,,
2500,,
122500,,
232500,,
345000,,
365000,,
25000,,
290000,,
237500,,
97500,,
2500,,
40000,,
65000,,
2500,,
2500,,
82500,,
22500,,
262500,,
2500,,
107500,,
2500,,
190000,,
2500,,
65000,,
210000,,
25000,,
2500,,
190000,,
15000,,
20000,,
502500,,
2500,,
52500,,
197500,,
2500,,
187500,,
2500,,
27500,,
457500,,
275000,,
2500,,
2500,,
2500,,
2500,,
180000,,
15000,,
272500,,
2500,,
527500,,
185000,,
305000,,
7500,,
157500,,
307500,,
2500,,
2500,,
442500,,
120000,,
47500,,
342500,,
70000,,
82500,,
2500,,
155000,,
197500,,
7500,,
100000,,
120000,,
2500,,
2500,,
122500,,
352500,,
332500,,
220000,,
52500,,
15000,,
15000,,
5000,,
2500,,
2500,,
2500,,
2500,,
5000,,
125000,,
2500,,
267500,,
152500,,
62500,,
22500,,
5000,,
17500,,
32500,,
2500,,
5000,,
137500,,
185000,,
100000,,
12500,,
42500,,
187500,,
127500,,
37500,,
2500,,
7500,,
272500,,
5000,,
252500,,
122500,,
157500,,
25000,,
155000,,
250000,,
7500,,
2500,,
122500,,
205000,,
10000,,
2500,,
2500,,
95000,,
7500,,
672500,,
500000,,
2500,,
2500,,
2500,,
2500,,
2500,,
225000,,
445000,,
120000,,
517500,,
2500,,
215000,,
70000,,
12500,,
510000,,
75000,,
2500,,
2500,,
2500,,
2500,,
150000,,
452500,,
2500,,
5000,,
2500,,
235000,,
140000,,
87500,,
47500,,
2500,,
275000,,
115000,,
22500,,
7500,,
42500,,
200000,,
107500,,
67500,,
105000,,
167500,,
100000,,
2500,,
95000,,
2500,,
47500,,
137500,,
2500,,
2500,,
467500,,
382500,,
340000,,
2500,,
180000,,
540000,,
2500,,
450000,,
145000,,
435000,,
105000,,
580000,,
70000,,
20000,,
542500,,
2500,,
77500,,
2500,,
107500,,
2500,,
17500,,
767500,,
5000,,
2500,,
2500,,
90000,,
22500,,
155000,,
2500,,
40000,,
110000,,
70000,,
22500,,
2500,,
425000,,
555000,,
2500,,
2500,,
80000,,
2500,,
2500,,
2500,,
2500,,
45000,,
2500,,
370000,,
2500,,
432500,,
2500,,
150000,,
60000,,
205000,,
60000,,
167500,,
52500,,
55000,,
2500,,
5000,,
360000,,
15000,,
57500,,
2500,,
100000,,
255000,,
265000,,
5000,,
2500,,
5000,,
45000,,
332500,,
57500,,
60000,,
12500,,
250000,,
2500,,
5000,,
2500,,
175000,,
125000,,
2500,,
370000,,
262500,,
2500,,
2500,,
420000,,
2500,,
62500,,
55000,,
185000,,
57500,,
62500,,
477500,,
135000,,
122500,,
110000,,
15000,,
2500,,
2500,,
7500,,
155000,,
67500,,
2500,,
2500,,
177500,,
265000,,
307500,,
7500,,
27500,,
177500,,
20000,,
10000,,
135000,,
2500,,
75000,,
2500,,
20000,,
2500,,
232500,,
5000,,
232500,,
182500,,
310000,,
5000,,
247500,,
2500,,
165000,,
127500,,
2500,,
12500,,
272500,,
30000,,
2500,,
107500,,
2500,,
2500,,
7500,,
2500,,
237500,,
147500,,
2500,,
435000,,
7500,,
5000,,
2500,,
100000,,
60000,,
2500,,
2500,,
902500,,
2500,,
2500,,
77500,,
5000,,
2500,,
670000,,
2500,,
57500,,
60000,,
37500,,
7500,,
195000,,
20000,,
52500,,
2500,,
2500,,
242500,,
342500,,
2500,,
1065740,,
998547,,
701052,,
