1659582 

ToM0, ToM1, ToM2
59,1,0
60,0,0

 Dominance frequency 
0.9987466738652578,7.471751957116964E-5,0.0012774285604103197

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
5000,2500,2500
5000,2500,2500
7500,2500,2500
2500,2500,2500
2500,2500,2500
5000,2500,2500
2500,2500,2500
22500,7500,2500
5000,12500,2500
2500,15000,2500
2500,2500,7500
2500,7500,10000
15000,17500,12500
32500,5000,10000
47500,2500,10000
25000,22500,15000
2500,10000,15000
40000,2500,17500
2500,25000,2500
62500,2500,15000
25000,27500,20000
55000,22500,20000
2500,35000,7500
2500,15000,2500
2500,42500,2500
90000,25000,12500
2500,52500,20000
107500,67500,22500
2500,12500,2500
102500,77500,5000
110000,2500,40000
112500,2500,42500
2500,62500,42500
2500,85000,22500
2500,87500,45000
125000,2500,2500
112500,80000,10000
130000,70000,30000
77500,17500,2500
95000,92500,37500
137500,2500,30000
135000,5000,112500
2500,195000,60000
25000,50000,7500
2500,92500,142500
2500,85000,2500
2500,345000,40000
5000,297500,222500
50000,2500,47500
77500,35000,37500
2500,320000,57500
140000,2500,2500
95000,92500,75000
165000,57500,2500
2500,22500,2500
47500,205000,2500
52500,45000,2500
195000,210000,117500
90000,7500,
87500,2500,
157500,130000,
40000,2500,
2500,550000,
207500,270000,
2500,302500,
45000,2500,
2500,10000,
182500,75000,
177500,595000,
222500,670000,
225000,147500,
130000,2500,
22500,2500,
32500,255000,
2500,2500,
2500,27500,
240000,102500,
2500,197500,
205000,267500,
220000,155000,
142500,525000,
2500,170000,
175000,2500,
22500,2500,
2500,25000,
45000,32500,
275000,205000,
147500,182500,
2500,,
60000,,
137500,,
145000,,
2500,,
247500,,
2500,,
145000,,
95000,,
2500,,
75000,,
140000,,
235000,,
7500,,
2500,,
195000,,
217500,,
2500,,
290000,,
2500,,
180000,,
200000,,
2500,,
10000,,
2500,,
2500,,
62500,,
2500,,
312500,,
112500,,
2500,,
2500,,
2500,,
2500,,
57500,,
2500,,
190000,,
2500,,
2500,,
142500,,
20000,,
5000,,
152500,,
355000,,
2500,,
15000,,
2500,,
340000,,
2500,,
30000,,
2500,,
2500,,
142500,,
250000,,
2500,,
37500,,
100000,,
132500,,
2500,,
177500,,
5000,,
75000,,
137500,,
197500,,
170000,,
2500,,
310000,,
270000,,
20000,,
2500,,
300000,,
172500,,
2500,,
342500,,
2500,,
162500,,
160000,,
57500,,
2500,,
265000,,
5000,,
7500,,
382500,,
2500,,
430000,,
2500,,
2500,,
97500,,
432500,,
425000,,
2500,,
2500,,
110000,,
2500,,
230000,,
45000,,
77500,,
2500,,
167500,,
2500,,
17500,,
40000,,
2500,,
237500,,
160000,,
2500,,
35000,,
132500,,
172500,,
70000,,
2500,,
517500,,
452500,,
545000,,
2500,,
260000,,
2500,,
82500,,
310000,,
227500,,
2500,,
2500,,
5000,,
2500,,
2500,,
2500,,
127500,,
15000,,
2500,,
167500,,
262500,,
17500,,
160000,,
2500,,
2500,,
2500,,
2500,,
555000,,
152500,,
302500,,
57500,,
2500,,
2500,,
2500,,
35000,,
2500,,
187500,,
2500,,
2500,,
250000,,
297500,,
57500,,
100000,,
615000,,
2500,,
262500,,
7500,,
7500,,
150000,,
50000,,
2500,,
317500,,
2500,,
110000,,
35000,,
100000,,
2500,,
357500,,
37500,,
5000,,
2500,,
2500,,
5000,,
2500,,
2500,,
142500,,
47500,,
2500,,
155000,,
5000,,
137500,,
115000,,
92500,,
2500,,
185000,,
330000,,
702500,,
2500,,
5000,,
382500,,
7500,,
2500,,
2500,,
212500,,
357500,,
2500,,
162500,,
217500,,
2500,,
5000,,
2500,,
150000,,
2500,,
2500,,
2500,,
67500,,
90000,,
2500,,
70000,,
317500,,
2500,,
245000,,
2500,,
235000,,
687500,,
2500,,
307500,,
170000,,
7500,,
2500,,
2500,,
2500,,
2500,,
355000,,
182500,,
2500,,
2500,,
220000,,
195000,,
87500,,
222500,,
2500,,
352500,,
25000,,
5000,,
55000,,
30000,,
82500,,
390000,,
22500,,
2500,,
2500,,
235000,,
2500,,
130000,,
240000,,
2500,,
75000,,
80000,,
115000,,
385000,,
2500,,
2500,,
55000,,
195000,,
322500,,
182500,,
2500,,
2500,,
2500,,
2500,,
107500,,
2500,,
872500,,
5000,,
2500,,
2500,,
440000,,
122500,,
5000,,
2500,,
77500,,
85000,,
2500,,
2500,,
30000,,
87500,,
2500,,
87500,,
287500,,
352500,,
505000,,
60000,,
2500,,
2500,,
10000,,
67500,,
137500,,
62500,,
2500,,
162500,,
10000,,
2500,,
32500,,
2500,,
285000,,
487500,,
55000,,
2500,,
250000,,
22500,,
2500,,
210000,,
90000,,
7500,,
2500,,
2500,,
2500,,
5000,,
2500,,
25000,,
2500,,
820000,,
47500,,
157500,,
380000,,
295000,,
192500,,
155000,,
437500,,
40000,,
125000,,
2500,,
395000,,
270000,,
7500,,
5000,,
47500,,
37500,,
750000,,
2500,,
82500,,
50000,,
392500,,
182500,,
2500,,
2500,,
230000,,
2500,,
2500,,
272500,,
27500,,
12500,,
87500,,
2500,,
65000,,
695000,,
2500,,
5000,,
160000,,
17500,,
157500,,
12500,,
357500,,
315000,,
180000,,
257500,,
2500,,
230000,,
2500,,
405000,,
37500,,
245000,,
2500,,
200000,,
15000,,
2500,,
272500,,
177500,,
2500,,
2500,,
120000,,
790000,,
645000,,
2500,,
40000,,
205000,,
2500,,
262500,,
2500,,
225000,,
317500,,
125000,,
60000,,
282500,,
2500,,
55000,,
5000,,
55000,,
2500,,
2500,,
180000,,
2500,,
15000,,
30000,,
5000,,
370000,,
547500,,
12500,,
7500,,
5000,,
672500,,
2500,,
2500,,
97500,,
2500,,
155000,,
2500,,
75000,,
77500,,
42500,,
30000,,
335000,,
2500,,
2500,,
95000,,
2500,,
160000,,
212500,,
220000,,
2500,,
7500,,
200000,,
2500,,
127500,,
672500,,
32500,,
7500,,
692500,,
107500,,
2500,,
492500,,
2500,,
7500,,
72500,,
102500,,
495000,,
42500,,
152500,,
112500,,
