1111664 

ToM0, ToM1, ToM2
59,1,0
60,0,0

 Dominance frequency 
0.9989961013469874,2.9865085376363045E-4,0.0032770634345208

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
5000,2500,2500
5000,2500,2500
2500,2500,5000
2500,2500,2500
2500,2500,5000
12500,5000,2500
17500,5000,5000
2500,7500,2500
2500,5000,10000
2500,10000,7500
22500,2500,2500
2500,5000,15000
42500,12500,15000
45000,12500,15000
2500,5000,2500
2500,17500,17500
40000,7500,17500
27500,17500,12500
2500,5000,20000
55000,27500,2500
22500,27500,2500
2500,2500,17500
2500,32500,22500
5000,12500,2500
2500,22500,10000
2500,45000,2500
2500,35000,25000
2500,20000,25000
2500,37500,2500
2500,52500,2500
5000,2500,20000
62500,10000,40000
80000,2500,17500
77500,65000,27500
35000,5000,40000
2500,42500,42500
37500,75000,35000
25000,95000,57500
2500,2500,32500
2500,2500,60000
7500,100000,2500
105000,52500,60000
107500,2500,5000
2500,97500,72500
120000,5000,172500
65000,110000,207500
65000,2500,90000
5000,2500,2500
52500,82500,2500
50000,20000,27500
142500,12500,2500
170000,7500,7500
2500,150000,
97500,10000,
177500,137500,
150000,190000,
170000,2500,
5000,2500,
2500,207500,
127500,27500,
185000,50000,
2500,2500,
27500,2500,
2500,2500,
2500,132500,
165000,247500,
2500,15000,
215000,2500,
120000,17500,
97500,60000,
2500,52500,
15000,2500,
2500,370000,
187500,242500,
112500,510000,
40000,2500,
247500,105000,
187500,2500,
2500,172500,
85000,147500,
2500,545000,
2500,87500,
2500,15000,
195000,2500,
85000,90000,
2500,92500,
265000,117500,
217500,2500,
2500,25000,
2500,100000,
5000,157500,
2500,2500,
245000,265000,
17500,125000,
2500,97500,
197500,57500,
242500,60000,
262500,250000,
30000,2500,
27500,492500,
80000,17500,
5000,2500,
20000,172500,
2500,2500,
2500,57500,
112500,112500,
2500,47500,
255000,2500,
315000,67500,
140000,15000,
107500,212500,
7500,355000,
222500,2500,
112500,2500,
22500,110000,
2500,262500,
282500,,
292500,,
347500,,
2500,,
2500,,
2500,,
147500,,
2500,,
2500,,
342500,,
47500,,
337500,,
112500,,
190000,,
127500,,
2500,,
2500,,
2500,,
5000,,
2500,,
77500,,
2500,,
10000,,
2500,,
7500,,
147500,,
10000,,
320000,,
2500,,
322500,,
62500,,
90000,,
395000,,
417500,,
2500,,
245000,,
2500,,
2500,,
425000,,
332500,,
2500,,
2500,,
62500,,
2500,,
55000,,
167500,,
2500,,
45000,,
2500,,
380000,,
267500,,
25000,,
307500,,
2500,,
2500,,
447500,,
347500,,
2500,,
2500,,
2500,,
2500,,
7500,,
2500,,
180000,,
2500,,
300000,,
117500,,
15000,,
7500,,
372500,,
190000,,
2500,,
52500,,
312500,,
40000,,
2500,,
2500,,
95000,,
165000,,
2500,,
5000,,
247500,,
25000,,
2500,,
310000,,
2500,,
5000,,
105000,,
497500,,
357500,,
125000,,
2500,,
170000,,
190000,,
27500,,
7500,,
220000,,
130000,,
160000,,
80000,,
487500,,
2500,,
197500,,
27500,,
7500,,
2500,,
15000,,
15000,,
105000,,
135000,,
2500,,
2500,,
15000,,
562500,,
330000,,
90000,,
2500,,
520000,,
377500,,
487500,,
2500,,
2500,,
625000,,
5000,,
2500,,
222500,,
25000,,
2500,,
82500,,
252500,,
2500,,
337500,,
80000,,
332500,,
25000,,
2500,,
5000,,
32500,,
2500,,
2500,,
45000,,
2500,,
5000,,
207500,,
25000,,
207500,,
10000,,
150000,,
2500,,
267500,,
150000,,
397500,,
2500,,
720000,,
27500,,
2500,,
440000,,
250000,,
100000,,
112500,,
115000,,
120000,,
77500,,
2500,,
77500,,
97500,,
745000,,
15000,,
120000,,
2500,,
55000,,
520000,,
340000,,
82500,,
257500,,
190000,,
285000,,
377500,,
5000,,
77500,,
85000,,
12500,,
2500,,
2500,,
5000,,
100000,,
22500,,
255000,,
285000,,
5000,,
5000,,
2500,,
155000,,
25000,,
2500,,
2500,,
5000,,
107500,,
427500,,
190000,,
265000,,
2500,,
135000,,
187500,,
412500,,
412500,,
10000,,
67500,,
5000,,
2500,,
227500,,
95000,,
2500,,
297500,,
2500,,
92500,,
2500,,
57500,,
2500,,
40000,,
2500,,
47500,,
297500,,
2500,,
2500,,
192500,,
2500,,
302500,,
95000,,
180000,,
150000,,
2500,,
2500,,
2500,,
175000,,
62500,,
47500,,
140000,,
65000,,
157500,,
2500,,
2500,,
37500,,
292500,,
32500,,
405000,,
137500,,
235000,,
2500,,
7500,,
7500,,
575000,,
575000,,
502500,,
62500,,
2500,,
7500,,
2500,,
2500,,
180000,,
115000,,
62500,,
62500,,
120000,,
115000,,
60000,,
37500,,
125000,,
132500,,
82500,,
50000,,
90000,,
62500,,
2500,,
120000,,
45000,,
5000,,
2500,,
2500,,
167500,,
2500,,
312500,,
2500,,
10000,,
102500,,
120000,,
35000,,
5000,,
2500,,
7500,,
175000,,
242500,,
205000,,
42500,,
2500,,
35000,,
2500,,
7500,,
222500,,
525000,,
312500,,
307500,,
2500,,
12500,,
5000,,
2500,,
812500,,
92500,,
70000,,
50000,,
225000,,
60000,,
832500,,
12500,,
2500,,
122500,,
205000,,
157500,,
32500,,
32500,,
2500,,
2500,,
107500,,
190000,,
262500,,
177500,,
400000,,
2500,,
2500,,
87500,,
100000,,
818935,,
551327,,
479554,,
450251,,
331015,,
329537,,
328643,,
274129,,
261912,,
257616,,
256432,,
246326,,
244701,,
232202,,
208806,,
207645,,
206034,,
204186,,
202242,,
196864,,
180014,,
176356,,
165202,,
143238,,
130344,,
119272,,
118517,,
117428,,
106901,,
103992,,
103328,,
87779,,
86359,,
84473,,
75463,,
70597,,
70579,,
66910,,
65795,,
58246,,
57170,,
52009,,
47570,,
37902,,
35810,,
31163,,
26511,,
26117,,
24203,,
22225,,
20132,,
19258,,
14406,,
13068,,
10477,,
10117,,
7268,,
6096,,
3573,,
0,,

 Negotiation Lengths 
Negotiation lengths 
 0-0, 0-1,0-2,1-0,1-1,1-2,2-0,2-1,2-2 
4,5,5,1,50,1,2,50,4
