287749 

ToM0, ToM1, ToM2
59,0,1
60,0,0

 Dominance frequency 
0.9696508439588394,0.004469141723225984,0.0283300492439644

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
10000,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,5000
2500,2500,2500
22500,5000,2500
2500,2500,2500
2500,5000,2500
2500,5000,5000
5000,7500,2500
37500,2500,2500
2500,2500,2500
2500,10000,2500
2500,2500,2500
2500,12500,10000
27500,2500,2500
35000,15000,2500
62500,12500,17500
2500,17500,2500
50000,2500,17500
2500,2500,17500
60000,12500,20000
32500,17500,5000
70000,35000,7500
2500,35000,5000
67500,32500,27500
2500,2500,30000
85000,42500,2500
77500,42500,20000
80000,2500,27500
20000,52500,30000
2500,2500,32500
2500,27500,5000
100000,15000,15000
72500,65000,50000
25000,110000,57500
7500,150000,5000
5000,,65000
2500,,50000
25000,,75000
2500,,85000
102500,,2500
32500,,2500
122500,,22500
122500,,92500
5000,,2500
2500,,90000
2500,,2500
25000,,10000
2500,,5000
97500,,2500
2500,,2500
2500,,45000
2500,,87500
147500,,132500
2500,,70000
5000,,172500
57500,,22500
32500,,200000
72500,,132500
2500,,290000
160000,,
165000,,
117500,,
2500,,
2500,,
2500,,
67500,,
2500,,
82500,,
55000,,
2500,,
50000,,
27500,,
72500,,
150000,,
2500,,
5000,,
5000,,
2500,,
210000,,
2500,,
212500,,
152500,,
2500,,
185000,,
70000,,
17500,,
2500,,
235000,,
30000,,
25000,,
197500,,
7500,,
212500,,
17500,,
82500,,
2500,,
2500,,
150000,,
2500,,
215000,,
80000,,
252500,,
202500,,
2500,,
288965,,
288576,,
288447,,
289319,,
288000,,
284020,,
280200,,
280018,,
268341,,
263906,,
263604,,
262568,,
258255,,
255756,,
243480,,
225313,,
221523,,
218271,,
216757,,
206132,,
198867,,
194442,,
178403,,
174326,,
170391,,
166177,,
162918,,
150310,,
146082,,
139875,,
133692,,
131049,,
121132,,
119110,,
116358,,
115690,,
113601,,
109299,,
109059,,
108260,,
101760,,
92426,,
89476,,
88928,,
75240,,
68845,,
65243,,
59064,,
46096,,
37977,,
36943,,
35490,,
33471,,
27590,,
20317,,
16224,,
11809,,
1638,,
108,,
0,,

 Negotiation Lengths 
Negotiation lengths 
 0-0, 0-1,0-2,1-0,1-1,1-2,2-0,2-1,2-2 
4,3,4,2,50,2,15,3,50
5,11,4,8,2,2,13,3,1
19,3,2,1,50,50,9,3,4
26,3,5,1,50,50,2,3,50
7,3,5,4,50,17,13,12,50
5,2,5,26,50,50,2,2,3
7,12,13,4,1,1,4,1,2
15,7,5,4,2,3,2,1,2
5,3,17,2,50,3,1,3,50
21,4,4,28,2,50,2,50,3
24,5,18,8,2,3,15,3,2
13,2,3,1,50,11,2,2,24
2,12,5,2,1,1,1,2,2
22,17,5,2,50,3,2,2,2
16,3,3,2,50,2,1,1,4
2,2,15,4,50,50,22,14,1
2,5,6,4,13,3,3,3,1
2,2,2,2,50,1,2,19,2
2,10,8,4,1,2,1,3,50
21,1,2,24,14,3,2,7,50
20,3,3,2,50,50,5,1,3
2,2,27,8,3,2,28,1,1
6,3,3,4,50,50,2,3,5
1,19,2,23,50,4,7,50,3
18,16,2,13,1,1,14,1,3
20,3,37,21,50,1,3,3,2
2,2,3,18,9,50,3,1,1
4,2,2,28,1,5,1,1,2
2,3,7,2,50,3,1,2,1
1,3,4,7,3,4,13,1,6
21,23,2,4,50,50,5,1,3
2,1,2,7,1,4,3,1,2
17,3,3,1,2,4,3,2,2
25,3,3,3,50,4,5,50,1
6,3,5,2,50,3,2,1,4
2,14,8,1,2,3,1,50,14
6,3,2,1,50,50,5,50,1
23,2,13,20,50,1,1,1,1
7,25,2,3,2,2,5,50,1
2,5,1,4,2,3,1,1,1
17,22,21,22,50,4,1,5,1
13,2,2,2,50,1,3,2,1
2,43,23,6,4,2,3,3,50
5,3,2,1,2,4,1,2,3
20,5,15,1,14,50,24,50,1
23,3,1,2,50,50,5,50,4
20,3,1,1,50,1,7,50,3
2,9,1,20,2,50,4,50,1
22,3,2,2,50,2,22,3,2
19,6,1,8,2,50,5,1,5
20,5,2,7,2,1,7,1,3
19,3,4,3,2,50,6,1,1
4,2,3,19,7,4,1,3,1
2,19,3,8,2,1,26,3,2
11,12,7,36,3,1,9,50,50
5,18,3,1,3,50,2,3,1
5,1,6,22,8,1,2,3,2
2,1,2,1,4,50,2,50,2
17,1,2,1,1,1,1,5,2
2,1,2,7,1,1,2,50,2
17,2,2,2,1,2,1,1,2
11,23,5,13,1,2,9,4,1
