363713 

ToM0, ToM1, ToM2
59,1,0
60,0,0

 Dominance frequency 
0.9854336499731933,3.299286529288041E-4,0.01645794097026518

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
5000,2500,2500
2500,2500,2500
2500,2500,2500
7500,2500,2500
2500,2500,2500
5000,2500,2500
2500,2500,2500
7500,5000,2500
25000,2500,5000
15000,2500,2500
22500,2500,7500
2500,2500,2500
30000,5000,7500
2500,2500,10000
15000,2500,10000
2500,10000,2500
2500,12500,10000
2500,12500,2500
25000,22500,7500
32500,27500,12500
2500,2500,2500
45000,47500,20000
2500,67500,20000
25000,32500,2500
32500,117500,27500
12500,2500,2500
15000,260000,30000
2500,150000,30000
87500,,32500
15000,,2500
2500,,35000
100000,,5000
75000,,20000
2500,,2500
75000,,42500
97500,,2500
57500,,45000
30000,,2500
82500,,2500
2500,,37500
117500,,12500
112500,,50000
120000,,52500
2500,,12500
12500,,22500
2500,,45000
2500,,35000
127500,,65000
32500,,15000
57500,,20000
150000,,85000
2500,,95000
150000,,57500
140000,,67500
2500,,110000
162500,,122500
132500,,122500
167500,,117500
2500,,12500
172500,,57500
2500,,85000
50000,,200000
177500,,137500
2500,,80000
25000,,2500
172500,,182500
82500,,
2500,,
2500,,
2500,,
105000,,
210000,,
90000,,
205000,,
2500,,
97500,,
2500,,
2500,,
220000,,
5000,,
2500,,
225000,,
57500,,
2500,,
250000,,
5000,,
260000,,
155000,,
2500,,
85000,,
57500,,
2500,,
67500,,
2500,,
295000,,
177500,,
127500,,
252500,,
5000,,
215000,,
50000,,
5000,,
20000,,
2500,,
332500,,
285000,,
287500,,
137500,,
345000,,
57500,,
2500,,
2500,,
82500,,
2500,,
2500,,
210000,,
2500,,
362744,,
357813,,
350646,,
346366,,
342824,,
337228,,
319007,,
309391,,
307420,,
294814,,
287363,,
284273,,
277818,,
273039,,
269040,,
268258,,
263910,,
258288,,
246716,,
242185,,
240897,,
224787,,
220475,,
210506,,
202266,,
202030,,
195743,,
191025,,
188994,,
183322,,
162346,,
159269,,
159057,,
154444,,
153800,,
150887,,
148805,,
137059,,
136810,,
131434,,
110858,,
105054,,
104085,,
100463,,
80803,,
74554,,
67997,,
50529,,
43454,,
38817,,
37213,,
32144,,
26385,,
23639,,
18708,,
11564,,
8867,,
1214,,
475,,
0,,

 Negotiation Lengths 
Negotiation lengths 
 0-0, 0-1,0-2,1-0,1-1,1-2,2-0,2-1,2-2 
2,5,3,4,1,1,1,3,3
26,2,14,8,2,1,3,50,2
2,3,4,1,50,2,9,3,50
23,3,3,10,50,4,4,3,50
5,3,10,1,50,50,10,50,2
5,5,10,4,1,1,4,3,5
23,5,9,2,12,1,2,3,7
2,3,4,8,50,2,7,1,4
8,3,15,1,50,1,5,1,1
4,18,12,4,2,50,4,11,1
2,16,3,1,2,2,4,50,1
1,5,29,4,50,1,4,3,50
11,5,9,17,50,50,1,50,50
2,2,3,13,1,2,7,13,3
2,3,2,2,50,6,1,2,4
3,3,3,1,1,3,3,9,1
20,3,13,5,50,1,2,2,6
4,3,2,1,1,2,5,3,1
1,3,3,4,50,2,14,1,50
2,29,2,1,50,1,3,50,3
22,8,10,24,12,50,5,50,50
7,2,3,1,50,50,3,50,2
25,1,10,2,14,1,7,50,50
2,2,15,2,2,5,4,1,3
25,7,2,1,50,50,5,50,5
19,2,2,1,1,50,2,50,1
5,17,2,5,4,3,22,50,23
2,2,3,2,50,50,4,1,2
2,18,2,8,1,50,2,50,4
6,3,3,22,1,50,9,1,1
20,3,2,2,1,5,20,1,4
2,1,3,13,2,50,20,3,3
2,3,3,1,2,50,2,1,1
27,1,10,18,50,50,1,50,5
15,1,2,1,50,50,5,3,1
17,2,7,18,1,1,1,50,3
2,6,2,8,50,50,5,1,1
1,2,2,5,50,3,18,1,6
2,3,2,13,2,2,3,7,50
2,16,2,3,50,2,5,1,5
1,2,12,20,3,50,1,3,2
3,3,3,3,28,2,5,50,50
13,2,10,1,2,2,1,3,50
2,2,17,13,1,1,18,1,2
1,1,3,26,1,50,5,50,1
2,2,6,1,50,2,6,3,3
3,17,4,20,2,1,1,1,9
1,5,1,2,1,6,1,4,5
1,3,3,1,2,1,15,1,1
2,8,2,4,3,2,13,13,1
1,1,7,1,1,50,7,1,3
21,2,3,4,50,50,5,1,5
26,2,1,28,3,2,1,1,1
13,3,3,1,1,3,5,3,9
1,2,3,1,1,1,4,50,1
9,2,33,26,12,1,1,17,3
8,3,3,17,2,50,1,1,13
1,12,3,8,1,50,9,50,3
7,2,3,7,1,2,2,1,26
1,12,1,5,1,50,1,5,3
21,2,2,1,50,1,4,50,2
8,5,3,1,2,50,2,3,1
2,3,3,4,2,1,4,3,50
4,2,1,1,6,2,1,50,2
2,2,17,1,50,1,1,2,50
19,3,1,13,50,4,1,2,2
2,9,2,1,50,50,5,1,4
2,3,3,1,1,50,1,1,3
5,8,3,1,4,3,1,3,4
26,2,3,5,2,50,1,1,10
2,2,2,22,4,3,1,50,1
1,3,2,1,50,2,1,50,3
2,2,2,20,1,3,1,14,3
2,3,8,19,1,2,1,3,2
19,3,6,1,1,6,2,50,3
4,2,11,19,,1,2,50,1
25,1,6,4,,3,26,2,1
2,3,8,5,,2,3,3,1
2,3,11,15,,2,1,1,3
1,3,1,6,,3,1,5,2
2,2,3,3,,2,6,12,3
2,27,1,2,,1,1,2,2
7,3,6,13,,8,18,1,1
2,2,1,3,,3,4,4,5
6,2,8,22,,1,2,1,1
19,2,6,4,,50,1,3,2
20,2,2,8,,5,1,50,4
19,3,2,1,,1,1,3,9
13,3,10,18,,50,7,1,3
15,3,6,13,,4,6,1,1
23,3,2,22,,1,5,1,5
21,2,1,1,,1,1,1,4
23,12,1,1,,50,5,3,50
2,1,5,4,,1,2,2,50
5,2,39,1,,6,2,1,2
24,2,4,1,,1,1,1,3
17,3,1,4,,1,3,2,2
22,17,5,1,,2,5,1,1
13,3,4,1,,50,1,2,2
2,1,2,2,,2,7,1,1
6,1,11,15,,1,5,1,1
24,23,1,6,,4,1,1,3
