225055 

ToM0, ToM1, ToM2
59,0,1
60,0,0

 Dominance frequency 
0.9922686252815953,0.008971060664631627,0.011152730197238921

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
5000,2500,2500
5000,2500,2500
2500,2500,2500
5000,2500,5000
2500,2500,2500
2500,2500,2500
2500,2500,2500
10000,5000,2500
12500,7500,2500
2500,7500,2500
25000,2500,15000
10000,10000,2500
2500,7500,12500
2500,7500,2500
15000,2500,2500
2500,7500,10000
50000,2500,20000
2500,2500,5000
5000,12500,2500
17500,15000,2500
2500,15000,5000
10000,10000,22500
2500,10000,2500
2500,17500,25000
62500,2500,20000
2500,2500,2500
5000,20000,2500
7500,20000,20000
7500,35000,2500
2500,7500,30000
77500,57500,32500
80000,55000,2500
52500,60000,7500
45000,97500,27500
2500,,30000
2500,,22500
92500,,2500
50000,,2500
5000,,47500
65000,,27500
62500,,25000
2500,,40000
110000,,55000
20000,,2500
115000,,45000
17500,,2500
2500,,67500
60000,,70000
2500,,25000
30000,,12500
2500,,50000
17500,,2500
2500,,87500
72500,,77500
147500,,95000
160000,,80000
115000,,2500
17500,,2500
125000,,95000
145000,,85000
2500,,20000
30000,,72500
57500,,112500
35000,,50000
82500,,47500
2500,,7500
92500,,167500
102500,,12500
162500,,147500
135000,,
2500,,
85000,,
122500,,
17500,,
7500,,
2500,,
105000,,
135000,,
102500,,
217500,,
15000,,
32500,,
10000,,
2500,,
226429,,
225427,,
225728,,
225270,,
225454,,
224619,,
224615,,
224419,,
223660,,
221825,,
220845,,
217381,,
214104,,
210855,,
203877,,
200319,,
198330,,
193714,,
186200,,
180998,,
178898,,
168335,,
165783,,
163846,,
159118,,
156586,,
155165,,
148739,,
146517,,
136865,,
133110,,
127502,,
124833,,
112515,,
94899,,
93913,,
90142,,
87682,,
85178,,
64711,,
61564,,
58873,,
51492,,
51361,,
50993,,
43069,,
41816,,
35600,,
32238,,
31160,,
23919,,
22588,,
15960,,
9539,,
8663,,
7736,,
6972,,
652,,
285,,
0,,

 Negotiation Lengths 
Negotiation lengths 
 0-0, 0-1,0-2,1-0,1-1,1-2,2-0,2-1,2-2 
50,3,2,10,50,4,4,5,1
6,2,3,8,4,4,2,50,1
7,5,3,2,50,50,10,50,50
14,50,3,10,20,50,4,5,3
10,2,7,2,50,50,1,50,10
7,3,24,7,50,50,2,2,2
7,3,3,4,50,50,16,50,50
50,3,3,12,50,4,10,3,50
8,3,3,10,4,1,19,5,2
6,17,7,17,50,50,2,3,1
4,50,3,1,50,6,1,50,3
50,5,5,47,1,1,1,3,50
5,23,3,4,2,1,15,50,3
6,3,3,50,2,1,4,3,3
7,3,3,10,50,50,50,50,1
7,3,50,8,2,1,50,50,50
50,50,3,18,1,50,1,3,2
20,2,3,50,50,50,3,3,4
2,5,5,50,2,3,50,1,1
50,3,2,8,1,50,4,3,7
5,3,29,2,25,50,50,3,1
3,50,7,7,1,19,6,1,3
50,3,2,1,50,8,3,2,1
4,3,2,50,1,50,2,1,2
3,2,3,2,1,1,4,2,2
50,3,3,5,1,2,1,3,1
4,2,2,2,1,2,3,2,2
5,3,1,50,34,38,1,1,1
2,3,50,3,13,50,3,1,1
50,3,3,10,50,1,2,1,15
50,50,2,2,50,17,50,1,50
2,1,3,50,2,4,7,50,6
2,1,50,1,2,50,1,1,50
50,1,11,16,50,1,10,50,50
50,2,12,5,50,50,1,50,2
13,1,1,7,50,2,50,1,50
50,3,5,4,1,1,50,1,3
2,4,5,50,4,1,5,3,2
2,2,2,4,1,3,2,50,50
6,10,5,3,1,50,1,15,7
50,48,7,2,50,1,2,1,1
15,1,50,1,50,2,3,1,50
50,37,3,29,1,4,12,3,2
2,3,2,11,50,1,2,50,1
50,3,26,14,1,1,50,50,2
11,3,2,4,50,1,9,1,6
50,2,29,49,1,50,3,1,1
50,50,2,6,1,50,7,50,1
2,2,2,8,50,2,10,1,1
1,41,2,1,1,10,1,5,2
50,1,2,2,50,1,2,1,50
1,50,2,2,1,2,1,3,50
41,43,2,1,1,1,1,50,1
1,3,4,50,1,1,2,2,1
50,50,47,2,1,3,4,1,1
2,3,5,12,50,50,1,3,2
45,2,21,1,50,1,4,1,1
1,49,1,50,50,50,5,2,3
20,3,5,1,1,50,1,1,3
1,50,3,1,1,1,1,7,3
50,46,2,6,50,1,2,4,1
2,2,2,2,1,1,11,3,2
7,1,3,2,1,2,1,2,3
50,1,2,1,1,2,1,2,2
4,2,2,8,1,3,1,1,1
2,5,36,44,1,1,50,1,1
50,2,20,1,3,1,8,3,50
