1552789 

ToM0, ToM1, ToM2
59,1,0
60,0,0

 Dominance frequency 
0.997805242302409,0.0025592626438458235,5.023213040261053E-5

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,5000
2500,2500,2500
22500,5000,2500
27500,2500,5000
2500,5000,2500
2500,5000,2500
2500,2500,5000
2500,2500,7500
22500,10000,5000
2500,10000,5000
5000,5000,7500
40000,2500,7500
2500,17500,7500
55000,17500,12500
37500,15000,7500
12500,25000,20000
32500,17500,2500
5000,2500,22500
7500,12500,22500
2500,30000,30000
37500,35000,45000
2500,47500,15000
2500,42500,10000
72500,52500,77500
90000,2500,32500
2500,50000,95000
67500,72500,52500
92500,12500,2500
92500,55000,2500
35000,47500,2500
2500,85000,5000
5000,2500,
2500,25000,
2500,115000,
87500,2500,
110000,2500,
32500,137500,
112500,12500,
2500,2500,
115000,55000,
110000,20000,
105000,2500,
2500,2500,
2500,2500,
2500,160000,
2500,2500,
45000,162500,
2500,12500,
125000,180000,
22500,102500,
117500,125000,
135000,2500,
2500,97500,
25000,10000,
2500,242500,
142500,7500,
5000,2500,
2500,7500,
10000,110000,
160000,2500,
47500,87500,
42500,87500,
102500,290000,
115000,210000,
5000,60000,
12500,317500,
27500,25000,
2500,2500,
87500,232500,
105000,2500,
27500,2500,
2500,12500,
2500,2500,
185000,122500,
192500,67500,
152500,315000,
177500,212500,
90000,35000,
2500,170000,
117500,2500,
2500,42500,
17500,7500,
2500,50000,
220000,2500,
55000,127500,
105000,115000,
230000,12500,
235000,110000,
2500,110000,
242500,92500,
2500,2500,
250000,2500,
100000,220000,
185000,45000,
25000,132500,
255000,22500,
122500,207500,
2500,20000,
2500,127500,
125000,245000,
2500,27500,
5000,2500,
2500,32500,
2500,80000,
5000,20000,
137500,7500,
82500,2500,
240000,2500,
2500,15000,
2500,90000,
2500,42500,
2500,170000,
230000,120000,
5000,177500,
2500,287500,
5000,170000,
267500,17500,
2500,10000,
10000,197500,
310000,10000,
332500,297500,
282500,667500,
225000,2500,
2500,115000,
120000,327500,
170000,142500,
310000,15000,
2500,360000,
175000,15000,
15000,382500,
10000,195000,
225000,2500,
165000,2500,
2500,2500,
2500,107500,
2500,142500,
180000,400000,
12500,417500,
2500,2500,
112500,115000,
2500,12500,
167500,90000,
55000,182500,
175000,2500,
235000,135000,
2500,245000,
2500,75000,
362500,5000,
5000,505000,
2500,145000,
180000,,
92500,,
240000,,
20000,,
277500,,
220000,,
60000,,
167500,,
405000,,
37500,,
327500,,
2500,,
275000,,
15000,,
5000,,
50000,,
50000,,
335000,,
2500,,
430000,,
2500,,
20000,,
95000,,
37500,,
40000,,
42500,,
27500,,
200000,,
2500,,
7500,,
80000,,
2500,,
90000,,
115000,,
480000,,
2500,,
480000,,
67500,,
5000,,
265000,,
67500,,
285000,,
122500,,
2500,,
147500,,
2500,,
220000,,
342500,,
5000,,
2500,,
2500,,
302500,,
165000,,
62500,,
5000,,
2500,,
160000,,
52500,,
107500,,
65000,,
2500,,
12500,,
165000,,
85000,,
197500,,
5000,,
222500,,
5000,,
5000,,
2500,,
2500,,
442500,,
5000,,
2500,,
72500,,
227500,,
175000,,
15000,,
5000,,
80000,,
22500,,
30000,,
135000,,
2500,,
25000,,
2500,,
2500,,
297500,,
2500,,
67500,,
465000,,
77500,,
2500,,
2500,,
2500,,
2500,,
185000,,
2500,,
132500,,
377500,,
267500,,
237500,,
257500,,
497500,,
2500,,
205000,,
387500,,
77500,,
2500,,
2500,,
70000,,
2500,,
2500,,
695000,,
422500,,
82500,,
2500,,
2500,,
95000,,
60000,,
50000,,
2500,,
32500,,
2500,,
452500,,
275000,,
185000,,
2500,,
472500,,
65000,,
90000,,
2500,,
270000,,
2500,,
2500,,
2500,,
2500,,
2500,,
2500,,
27500,,
2500,,
2500,,
2500,,
145000,,
50000,,
275000,,
2500,,
90000,,
2500,,
450000,,
395000,,
130000,,
617500,,
2500,,
2500,,
27500,,
160000,,
2500,,
37500,,
512500,,
282500,,
2500,,
85000,,
72500,,
327500,,
2500,,
467500,,
320000,,
160000,,
102500,,
522500,,
132500,,
7500,,
10000,,
15000,,
112500,,
2500,,
5000,,
132500,,
197500,,
122500,,
2500,,
2500,,
580000,,
5000,,
2500,,
2500,,
77500,,
2500,,
2500,,
22500,,
132500,,
110000,,
5000,,
275000,,
192500,,
32500,,
75000,,
2500,,
135000,,
2500,,
37500,,
695000,,
922500,,
2500,,
410000,,
150000,,
525000,,
20000,,
277500,,
2500,,
2500,,
2500,,
240000,,
2500,,
2500,,
55000,,
20000,,
275000,,
12500,,
260000,,
7500,,
180000,,
2500,,
2500,,
15000,,
195000,,
292500,,
955000,,
2500,,
25000,,
435000,,
45000,,
207500,,
2500,,
2500,,
302500,,
10000,,
2500,,
12500,,
2500,,
5000,,
522500,,
37500,,
17500,,
2500,,
7500,,
145000,,
2500,,
120000,,
2500,,
2500,,
2500,,
5000,,
7500,,
410000,,
2500,,
235000,,
112500,,
5000,,
5000,,
167500,,
2500,,
2500,,
197500,,
2500,,
377500,,
295000,,
132500,,
2500,,
52500,,
2500,,
2500,,
322500,,
32500,,
202500,,
665000,,
15000,,
70000,,
365000,,
165000,,
2500,,
80000,,
2500,,
25000,,
37500,,
362500,,
22500,,
2500,,
55000,,
5000,,
75000,,
10000,,
77500,,
5000,,
95000,,
410000,,
125000,,
410000,,
5000,,
872500,,
2500,,
180000,,
225000,,
390000,,
7500,,
2500,,
167500,,
457500,,
2500,,
2500,,
232500,,
67500,,
687500,,
62500,,
2500,,
100000,,
90000,,
200000,,
5000,,
560000,,
35000,,
2500,,
2500,,
2500,,
357500,,
2500,,
247500,,
182500,,
2500,,
2500,,
2500,,
292500,,
112500,,
52500,,
140000,,
87500,,
45000,,
140000,,
210000,,
17500,,
2500,,
2500,,
62500,,
2500,,
5000,,
465000,,
85000,,
415000,,
145000,,
2500,,
2500,,
2500,,
2500,,
2500,,
2500,,
2500,,
