579052 

ToM0, ToM1, ToM2
59,1,0
60,0,0

 Dominance frequency 
0.9935411895954436,0.013891623233757129,5.1808639608741155E-6

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
10000,2500,2500
17500,2500,2500
22500,2500,2500
2500,2500,2500
2500,2500,2500
5000,5000,2500
32500,5000,5000
2500,2500,5000
10000,2500,2500
37500,2500,2500
20000,7500,2500
2500,7500,2500
2500,2500,10000
2500,7500,7500
2500,12500,2500
50000,15000,20000
5000,17500,20000
2500,10000,20000
2500,17500,17500
55000,10000,2500
5000,22500,12500
2500,20000,25000
60000,2500,5000
5000,22500,22500
60000,22500,25000
5000,2500,2500
2500,25000,10000
2500,2500,10000
2500,2500,30000
2500,5000,2500
37500,2500,12500
45000,25000,15000
80000,2500,45000
2500,2500,17500
5000,35000,2500
7500,2500,52500
2500,10000,5000
57500,40000,35000
2500,47500,47500
37500,17500,27500
105000,35000,85000
35000,40000,87500
105000,2500,102500
105000,65000,95000
2500,7500,2500
115000,45000,
2500,70000,
2500,5000,
67500,2500,
122500,75000,
2500,90000,
67500,2500,
97500,125000,
2500,2500,
2500,50000,
47500,90000,
2500,2500,
2500,47500,
70000,55000,
120000,15000,
147500,205000,
150000,257500,
25000,267500,
2500,2500,
122500,395000,
2500,430000,
2500,2500,
185000,2500,
45000,72500,
5000,107500,
212500,2500,
157500,342500,
2500,,
2500,,
2500,,
2500,,
55000,,
5000,,
105000,,
80000,,
2500,,
2500,,
177500,,
185000,,
142500,,
222500,,
5000,,
2500,,
2500,,
110000,,
2500,,
2500,,
27500,,
200000,,
2500,,
2500,,
240000,,
202500,,
12500,,
5000,,
137500,,
242500,,
187500,,
2500,,
12500,,
247500,,
130000,,
180000,,
2500,,
137500,,
125000,,
7500,,
2500,,
25000,,
2500,,
2500,,
20000,,
100000,,
220000,,
5000,,
55000,,
287500,,
2500,,
45000,,
252500,,
200000,,
2500,,
305000,,
320000,,
2500,,
10000,,
235000,,
280000,,
2500,,
65000,,
122500,,
2500,,
70000,,
327500,,
2500,,
365000,,
347500,,
42500,,
2500,,
42500,,
57500,,
65000,,
20000,,
2500,,
45000,,
142500,,
265000,,
220000,,
275000,,
2500,,
2500,,
2500,,
322500,,
350000,,
110000,,
22500,,
32500,,
142500,,
147500,,
105000,,
12500,,
2500,,
70000,,
45000,,
2500,,
12500,,
60000,,
100000,,
2500,,
2500,,
2500,,
225000,,
125000,,
287500,,
2500,,
55000,,
387500,,
17500,,
2500,,
2500,,
115000,,
2500,,
2500,,
395000,,
2500,,
232500,,
225000,,
62500,,
120000,,
60000,,
310000,,
2500,,
2500,,
2500,,
2500,,
2500,,
2500,,
2500,,
320000,,
2500,,
2500,,
15000,,
92500,,
2500,,
2500,,
240000,,
2500,,
2500,,
2500,,
200000,,
2500,,
495000,,
20000,,
2500,,
75000,,
2500,,
579469,,
579692,,
579156,,
565559,,
560898,,
552320,,
544044,,
512835,,
492932,,
478510,,
474848,,
471155,,
452698,,
365310,,
337427,,
325551,,
314091,,
313672,,
312567,,
311044,,
306085,,
279770,,
269713,,
258080,,
252827,,
216687,,
213670,,
212108,,
208921,,
187133,,
187075,,
185434,,
150915,,
147529,,
142530,,
142100,,
135507,,
121657,,
117877,,
108925,,
104141,,
96888,,
96866,,
81964,,
81550,,
59980,,
59426,,
46886,,
43257,,
39965,,
36226,,
31711,,
24383,,
23427,,
20067,,
11506,,
10672,,
8242,,
4390,,
0,,

 Negotiation Lengths 
Negotiation lengths 
 0-0, 0-1,0-2,1-0,1-1,1-2,2-0,2-1,2-2 
47,3,3,8,50,50,6,50,1
6,2,30,8,50,50,2,50,1
4,13,7,4,50,50,1,1,50
10,3,36,12,1,50,15,3,1
7,5,30,6,50,50,6,50,1
45,3,3,20,50,50,2,50,50
4,30,2,1,2,50,3,3,5
4,11,30,1,50,2,2,3,1
7,3,2,2,1,50,1,3,50
2,3,5,1,50,1,50,3,1
3,3,50,4,1,1,8,3,1
7,40,12,2,50,1,8,50,50
50,48,3,4,1,6,7,1,3
50,3,9,4,1,1,9,4,50
50,3,5,7,1,7,1,1,1
6,3,50,9,50,1,22,3,7
3,3,3,1,50,50,1,50,1
50,30,6,8,50,3,2,1,3
1,3,2,50,50,50,1,3,50
1,3,3,4,2,1,50,50,2
13,16,16,2,1,1,1,1,1
7,2,5,1,50,1,7,5,50
50,5,5,3,50,3,16,50,3
2,2,11,2,50,1,13,27,1
5,3,17,50,50,3,6,18,3
2,9,2,6,50,4,1,50,1
10,2,2,35,50,1,1,5,1
3,3,50,1,2,2,8,2,1
5,5,7,1,50,50,1,1,1
1,50,2,5,50,3,1,2,6
50,34,50,6,3,1,50,3,3
5,2,3,4,1,1,1,1,3
4,3,4,1,1,5,50,1,2
2,1,3,50,2,2,1,1,50
21,3,29,1,50,50,8,2,1
2,13,2,50,1,50,2,50,3
50,3,9,50,50,2,5,1,50
50,3,1,50,50,50,2,50,1
2,2,50,6,50,1,1,1,1
43,36,47,2,3,3,1,2,3
2,2,2,1,1,50,1,50,50
1,3,2,1,5,1,2,50,50
50,1,2,50,3,50,1,3,1
3,1,2,4,16,50,3,3,50
2,50,2,13,50,1,4,5,2
2,3,2,50,1,3,2,1,6
50,5,3,10,1,1,1,3,1
50,32,2,4,3,1,50,1,1
50,2,2,6,1,50,1,1,2
2,2,5,2,50,50,7,50,1
2,2,5,1,1,50,2,2,3
27,10,2,2,50,1,1,1,1
50,3,50,6,2,2,2,3,2
2,2,50,2,2,1,2,2,1
43,3,50,2,4,1,1,1,1
50,3,1,1,1,1,13,50,1
23,1,2,50,50,4,7,50,1
50,2,3,1,3,2,1,3,1
2,15,1,2,1,50,1,4,1
31,2,2,1,50,1,50,2,2
49,2,2,1,2,1,50,27,50
50,2,3,6,50,1,1,1,16
50,2,3,5,1,1,10,1,2
3,50,2,2,1,1,3,3,1
50,2,1,1,2,1,1,50,3
1,3,2,1,1,1,2,2,2
11,3,2,1,1,1,50,2,50
2,2,6,1,1,6,2,1,3
7,21,2,1,50,50,1,1,50
