584072 

ToM0, ToM1, ToM2
59,0,1
60,0,0

 Dominance frequency 
0.9945657570787263,5.82118019292076E-5,0.005492454723202882

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,5000
2500,2500,2500
2500,2500,2500
2500,2500,5000
2500,5000,2500
2500,2500,2500
2500,5000,5000
2500,5000,5000
2500,5000,2500
2500,2500,7500
2500,2500,7500
2500,2500,2500
10000,5000,2500
2500,2500,2500
10000,10000,10000
2500,2500,2500
2500,15000,2500
2500,2500,2500
2500,15000,15000
2500,2500,20000
37500,2500,25000
2500,17500,15000
5000,20000,27500
2500,2500,2500
50000,30000,30000
2500,25000,2500
2500,42500,30000
27500,42500,15000
60000,35000,37500
37500,37500,40000
2500,60000,5000
2500,62500,47500
2500,2500,2500
2500,57500,57500
70000,35000,62500
2500,75000,67500
2500,22500,15000
2500,37500,40000
2500,35000,7500
95000,12500,67500
2500,7500,82500
62500,2500,92500
80000,45000,80000
2500,52500,2500
2500,172500,30000
37500,182500,45000
100000,5000,42500
2500,35000,50000
55000,142500,27500
87500,135000,52500
92500,202500,122500
70000,12500,65000
2500,10000,2500
2500,265000,
107500,402500,
2500,2500,
2500,107500,
2500,50000,
15000,347500,
2500,47500,
10000,105000,
2500,72500,
2500,,
2500,,
2500,,
5000,,
2500,,
2500,,
137500,,
2500,,
70000,,
2500,,
115000,,
2500,,
160000,,
152500,,
160000,,
60000,,
2500,,
135000,,
5000,,
95000,,
175000,,
115000,,
2500,,
182500,,
102500,,
17500,,
35000,,
152500,,
2500,,
207500,,
175000,,
2500,,
25000,,
75000,,
2500,,
212500,,
92500,,
215000,,
2500,,
2500,,
22500,,
235000,,
2500,,
255000,,
265000,,
267500,,
105000,,
2500,,
2500,,
65000,,
135000,,
112500,,
5000,,
285000,,
190000,,
2500,,
197500,,
2500,,
2500,,
5000,,
25000,,
132500,,
182500,,
310000,,
2500,,
145000,,
72500,,
132500,,
5000,,
30000,,
260000,,
2500,,
20000,,
215000,,
352500,,
345000,,
377500,,
207500,,
202500,,
2500,,
2500,,
117500,,
237500,,
32500,,
202500,,
37500,,
2500,,
287500,,
2500,,
5000,,
277500,,
35000,,
352500,,
2500,,
172500,,
15000,,
387500,,
2500,,
2500,,
7500,,
2500,,
2500,,
2500,,
2500,,
27500,,
92500,,
347500,,
345000,,
5000,,
27500,,
2500,,
52500,,
5000,,
2500,,
2500,,
292500,,
2500,,
97500,,
5000,,
2500,,
2500,,
122500,,
47500,,
2500,,
327500,,
512500,,
217500,,
160000,,
40000,,
235000,,
160000,,
2500,,
2500,,
55000,,
152500,,
2500,,
2500,,
2500,,
505000,,
390000,,
35000,,
7500,,
60000,,
2500,,
502500,,
130000,,
575000,,
2500,,
117500,,
586347,,
583782,,
562361,,
559758,,
531150,,
519899,,
474574,,
470434,,
467038,,
456578,,
450399,,
445905,,
409124,,
385904,,
376034,,
371881,,
342796,,
323112,,
321057,,
317919,,
298510,,
281848,,
276396,,
272019,,
239006,,
217351,,
210773,,
206726,,
199789,,
181895,,
174509,,
156839,,
133641,,
130297,,
126840,,
125180,,
119584,,
115393,,
91143,,
86175,,
80270,,
77759,,
68748,,
63032,,
52677,,
51723,,
46170,,
45337,,
41868,,
36443,,
31767,,
27855,,
27448,,
17252,,
12821,,
9039,,
8863,,
2427,,
2192,,
0,,

 Negotiation Lengths 
Negotiation lengths 
 0-0, 0-1,0-2,1-0,1-1,1-2,2-0,2-1,2-2 
6,3,2,8,1,50,2,5,11
6,3,2,10,50,50,6,1,3
2,3,3,2,50,50,2,50,50
14,5,3,16,50,1,2,1,1
6,5,2,1,1,2,4,50,2
7,3,2,4,50,1,4,1,50
39,3,5,8,50,50,6,1,3
50,50,5,4,50,1,1,50,50
5,3,34,4,50,50,2,50,3
50,3,5,8,3,50,36,5,2
50,50,21,11,1,50,2,3,5
8,3,50,6,50,50,8,50,1
50,2,2,8,50,50,1,2,50
21,50,50,2,50,1,2,3,1
7,39,7,21,50,1,1,7,8
47,29,3,3,50,4,2,1,3
2,3,3,1,50,49,1,50,50
50,50,2,3,1,50,25,50,3
7,3,8,2,50,50,1,3,3
50,12,9,1,21,50,13,2,50
50,2,8,4,4,50,11,3,3
5,7,3,3,1,4,1,50,50
1,3,6,8,50,2,4,50,2
6,32,45,8,1,3,6,2,50
11,3,20,13,50,50,19,23,1
50,50,4,2,1,1,2,50,2
5,2,31,13,50,2,15,3,1
27,2,44,25,50,1,12,1,2
12,2,5,11,50,2,4,1,4
1,46,10,47,50,2,1,2,50
4,3,3,50,50,2,4,22,3
49,3,21,1,50,50,4,50,50
50,3,3,12,50,50,7,1,2
