497900 

ToM0, ToM1, ToM2
59,1,0
60,0,0

 Dominance frequency 
0.9765696864041519,3.7356748918461864E-4,0.024354190182003688

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
5000,2500,2500
10000,2500,2500
2500,2500,2500
7500,2500,2500
17500,2500,2500
2500,2500,2500
17500,2500,5000
2500,2500,2500
2500,2500,2500
5000,2500,2500
2500,2500,10000
2500,7500,2500
2500,7500,10000
2500,7500,2500
2500,5000,2500
17500,10000,2500
20000,2500,12500
5000,12500,2500
5000,20000,12500
2500,2500,15000
52500,22500,2500
60000,5000,15000
50000,2500,2500
2500,27500,17500
2500,25000,2500
2500,35000,20000
2500,35000,20000
32500,37500,20000
5000,30000,22500
2500,35000,20000
2500,2500,22500
2500,40000,10000
2500,2500,2500
2500,2500,2500
35000,2500,27500
10000,60000,2500
92500,80000,27500
5000,67500,2500
2500,30000,2500
35000,17500,2500
2500,22500,5000
92500,102500,20000
2500,100000,45000
25000,80000,5000
55000,2500,37500
5000,2500,2500
127500,2500,47500
5000,2500,12500
120000,30000,37500
2500,50000,7500
2500,2500,37500
75000,202500,32500
25000,17500,60000
32500,7500,47500
145000,100000,22500
42500,2500,5000
2500,127500,25000
2500,225000,72500
82500,12500,2500
2500,2500,22500
77500,75000,62500
165000,25000,2500
165000,85000,2500
112500,37500,75000
170000,305000,47500
2500,130000,52500
65000,200000,52500
127500,2500,12500
175000,97500,105000
2500,2500,82500
2500,160000,102500
20000,57500,82500
27500,15000,42500
2500,60000,2500
55000,27500,52500
140000,167500,
77500,2500,
95000,207500,
2500,212500,
30000,,
200000,,
175000,,
150000,,
5000,,
207500,,
2500,,
2500,,
200000,,
132500,,
12500,,
2500,,
202500,,
62500,,
5000,,
2500,,
85000,,
2500,,
57500,,
2500,,
2500,,
140000,,
2500,,
120000,,
40000,,
2500,,
22500,,
7500,,
230000,,
2500,,
2500,,
5000,,
2500,,
237500,,
50000,,
97500,,
2500,,
2500,,
2500,,
2500,,
150000,,
2500,,
2500,,
65000,,
130000,,
2500,,
112500,,
307500,,
110000,,
2500,,
70000,,
122500,,
172500,,
22500,,
2500,,
2500,,
347500,,
2500,,
7500,,
360000,,
2500,,
2500,,
282500,,
65000,,
157500,,
385000,,
2500,,
187500,,
217500,,
2500,,
337500,,
262500,,
2500,,
95000,,
340000,,
335000,,
2500,,
7500,,
397500,,
335000,,
407500,,
5000,,
430000,,
287500,,
2500,,
17500,,
57500,,
2500,,
2500,,
100000,,
217500,,
390000,,
62500,,
5000,,
2500,,
217500,,
117500,,
315000,,
2500,,
75000,,
32500,,
2500,,
207500,,
107500,,
180000,,
2500,,
67500,,
7500,,
167500,,
2500,,
2500,,
122500,,
497793,,
469096,,
468175,,
448257,,
438721,,
433287,,
394234,,
356784,,
354396,,
344903,,
315063,,
306143,,
292792,,
285358,,
268140,,
267796,,
260689,,
251090,,
243200,,
224105,,
216772,,
205247,,
191411,,
189169,,
171273,,
167185,,
159118,,
147774,,
145121,,
129761,,
113146,,
112639,,
110733,,
110424,,
109397,,
106849,,
85397,,
82507,,
78572,,
76899,,
67183,,
62885,,
52244,,
44808,,
43447,,
39501,,
38523,,
36315,,
24152,,
20243,,
20226,,
16663,,
15914,,
13147,,
10906,,
7079,,
3719,,
595,,
473,,
0,,

 Negotiation Lengths 
Negotiation lengths 
 0-0, 0-1,0-2,1-0,1-1,1-2,2-0,2-1,2-2 
47,3,3,10,2,50,6,1,50
6,3,5,1,50,2,6,50,12
6,3,4,12,50,1,4,50,13
8,5,5,1,1,50,7,50,50
50,3,3,14,50,50,1,1,8
8,3,34,1,50,50,5,1,50
50,2,5,2,50,1,7,1,2
7,2,8,1,2,50,10,3,7
6,3,7,6,50,50,6,49,2
50,26,8,50,50,4,2,1,8
49,3,8,6,50,6,15,2,50
6,7,5,2,50,50,50,50,2
6,24,2,50,18,1,19,32,3
4,50,3,1,50,50,2,5,3
15,17,50,1,34,9,50,3,50
11,3,5,16,50,50,2,50,50
50,3,3,50,3,50,1,1,50
6,26,10,6,50,3,50,1,50
7,3,1,1,42,1,7,5,2
2,7,3,4,50,1,2,50,8
50,2,3,4,1,4,1,1,11
5,50,5,6,50,50,1,50,2
50,3,5,4,50,2,14,40,7
2,2,3,2,50,50,12,3,3
17,7,2,4,5,2,50,1,3
1,50,2,16,50,2,1,2,2
5,50,1,50,1,50,1,1,1
19,3,4,4,1,19,1,50,50
50,32,50,4,50,50,3,2,2
1,28,6,1,5,4,1,3,3
2,1,2,28,50,50,1,3,1
50,3,50,1,50,1,1,1,3
2,1,11,50,50,1,2,2,50
2,3,2,20,50,50,7,3,1
2,2,14,50,50,2,1,1,7
2,2,2,1,50,3,1,5,2
5,23,3,10,1,2,3,2,2
2,4,3,8,1,1,7,3,2
2,5,2,2,50,3,9,4,2
2,1,3,1,2,50,8,50,1
1,5,2,1,50,50,8,1,1
1,2,2,50,39,1,7,50,50
1,2,3,50,36,1,1,50,1
6,50,2,41,1,4,1,2,2
2,2,2,4,3,1,1,50,50
2,43,2,1,50,50,1,50,1
13,1,1,1,50,5,1,50,2
50,1,2,50,3,1,50,1,2
2,2,3,50,1,3,1,5,1
2,1,2,1,50,50,1,3,50
9,50,2,1,50,2,50,3,1
8,1,2,13,50,50,1,9,2
2,3,3,50,50,1,1,50,2
1,2,50,2,34,2,1,50,1
2,47,5,48,50,2,1,2,3
2,3,3,1,50,4,50,50,7
50,50,10,50,50,3,1,5,50
25,12,50,4,50,2,2,50,1
1,50,2,4,50,50,1,1,16
2,5,4,15,3,3,3,3,1
29,50,41,50,48,50,6,2,2
14,3,8,2,50,1,4,2,2
46,3,45,1,3,1,50,1,2
50,3,3,1,50,2,2,3,1
1,5,50,4,50,6,25,2,1
2,3,1,1,50,4,2,2,4
2,2,7,1,50,50,3,3,1
2,1,50,15,40,2,1,50,1
50,22,2,50,2,50,50,50,1
48,1,50,2,2,6,13,2,50
47,4,5,1,1,4,5,50,50
4,1,50,17,1,3,11,1,50
2,3,14,4,3,50,1,1,2
