347777 

ToM0, ToM1, ToM2
59,1,0
60,0,0

 Dominance frequency 
0.9922019443382147,2.3865730823310205E-4,0.008036712970018317

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
5000,2500,2500
2500,2500,2500
5000,2500,2500
2500,5000,2500
5000,2500,2500
2500,2500,2500
17500,5000,2500
2500,5000,2500
20000,2500,2500
2500,2500,2500
25000,5000,2500
22500,2500,2500
32500,2500,2500
32500,12500,7500
2500,2500,7500
7500,2500,2500
45000,5000,7500
47500,2500,7500
2500,27500,2500
5000,32500,5000
60000,22500,10000
27500,2500,5000
65000,2500,12500
2500,7500,15000
2500,2500,12500
67500,30000,17500
75000,2500,10000
2500,42500,12500
20000,15000,27500
45000,2500,22500
72500,2500,17500
15000,22500,2500
52500,15000,32500
77500,62500,5000
5000,2500,2500
70000,65000,2500
20000,17500,42500
50000,72500,2500
2500,72500,25000
2500,62500,27500
5000,35000,45000
27500,92500,2500
42500,17500,2500
47500,5000,12500
55000,22500,52500
22500,102500,45000
37500,10000,17500
37500,120000,27500
32500,32500,2500
2500,140000,37500
62500,87500,60000
127500,180000,2500
137500,150000,10000
2500,2500,115000
150000,145000,2500
100000,2500,22500
22500,160000,165000
105000,145000,62500
2500,90000,2500
52500,287500,190000
2500,5000,30000
2500,345000,
45000,,
62500,,
2500,,
60000,,
2500,,
142500,,
15000,,
2500,,
175000,,
2500,,
72500,,
120000,,
147500,,
20000,,
207500,,
147500,,
2500,,
2500,,
22500,,
62500,,
2500,,
122500,,
207500,,
2500,,
20000,,
15000,,
135000,,
42500,,
92500,,
230000,,
2500,,
5000,,
2500,,
20000,,
70000,,
227500,,
185000,,
2500,,
30000,,
2500,,
115000,,
275000,,
5000,,
272500,,
85000,,
262500,,
2500,,
210000,,
295000,,
2500,,
190000,,
2500,,
30000,,
25000,,
20000,,
87500,,
195000,,
2500,,
2500,,
282500,,
100000,,
87500,,
30000,,
105000,,
2500,,
2500,,
25000,,
22500,,
2500,,
10000,,
57500,,
202500,,
2500,,
7500,,
7500,,
135000,,
52500,,
348372,,
347559,,
346826,,
342483,,
332457,,
305057,,
302695,,
286303,,
282474,,
274623,,
262161,,
239854,,
232559,,
231902,,
216318,,
213911,,
210266,,
201518,,
195650,,
191099,,
188946,,
172127,,
167938,,
155291,,
150565,,
148375,,
140868,,
139356,,
137506,,
137238,,
133550,,
132482,,
126522,,
124854,,
120136,,
113762,,
99550,,
99096,,
90934,,
88036,,
66946,,
61322,,
54669,,
51168,,
50844,,
49871,,
46213,,
42550,,
42357,,
35964,,
30386,,
25764,,
23151,,
20167,,
19542,,
16648,,
15189,,
15118,,
2364,,
0,,

 Negotiation Lengths 
Negotiation lengths 
 0-0, 0-1,0-2,1-0,1-1,1-2,2-0,2-1,2-2 
6,3,3,10,1,50,6,50,1
6,7,5,10,50,1,2,50,2
47,3,5,10,50,50,6,31,1
4,50,5,6,1,50,6,50,50
6,5,50,2,1,50,6,50,50
4,2,7,1,50,50,4,4,4
7,2,50,6,4,50,2,50,50
2,50,9,4,3,1,19,7,1
6,2,3,1,50,50,50,2,1
50,3,3,2,50,3,7,1,50
43,2,8,2,1,3,11,29,3
50,1,8,4,21,2,1,3,5
2,2,7,2,50,50,1,1,1
8,3,3,1,50,20,1,1,1
2,1,8,1,1,3,1,31,3
7,2,17,6,50,50,7,14,1
2,1,8,1,50,2,1,1,11
6,5,3,4,21,1,1,2,3
6,3,11,50,3,50,1,50,1
12,50,1,6,50,50,5,1,3
3,2,5,50,50,50,1,3,3
5,3,14,4,3,5,1,50,3
14,32,24,6,1,1,5,50,50
9,2,3,4,50,50,2,1,1
50,1,5,1,2,6,2,50,1
2,45,2,8,50,50,2,1,1
50,5,3,1,2,50,2,1,1
7,2,3,21,50,1,11,50,5
2,38,2,1,50,50,1,50,1
48,3,2,4,31,2,2,1,1
43,7,3,6,2,50,1,50,1
19,12,5,5,50,50,2,50,1
1,2,42,4,50,1,1,3,1
22,2,50,19,2,50,29,1,2
8,50,1,5,3,50,1,44,2
4,3,2,1,50,50,1,50,2
50,50,2,7,50,1,1,3,3
8,3,2,2,24,50,1,3,5
15,2,2,4,50,2,3,13,2
50,45,2,1,50,2,1,50,2
2,2,3,1,2,1,2,4,3
1,2,2,6,50,3,1,50,1
1,50,5,50,3,5,1,3,4
7,1,3,50,5,3,1,3,2
15,48,2,1,2,2,5,1,1
2,5,1,1,50,3,1,3,3
2,9,3,1,50,1,1,3,4
50,1,2,1,5,2,48,50,1
1,3,2,12,50,50,4,50,6
8,1,50,2,1,1,1,1,2
2,10,50,14,36,50,1,1,1
6,5,5,37,2,1,1,1,2
10,50,50,1,50,1,1,1,1
2,1,2,1,3,4,1,9,2
50,2,50,50,50,2,13,2,1
1,4,2,6,3,17,1,50,9
45,2,2,4,50,4,1,50,50
2,5,2,1,50,50,1,3,50
50,3,1,2,4,1,2,50,3
37,1,2,2,1,50,1,2,1
1,1,2,1,1,50,1,5,1
2,3,3,50,2,1,1,2,2
2,2,2,3,29,50,1,2,1
1,2,2,4,50,1,1,50,1
3,3,1,2,1,2,1,3,1
25,3,2,2,1,2,6,2,1
2,5,3,11,4,50,1,1,1
50,5,50,2,32,2,6,1,3
41,2,2,6,3,50,1,5,1
1,1,2,4,1,1,1,2,3
29,2,2,12,1,2,10,2,5
19,19,5,5,1,50,3,5,1
2,7,2,3,1,50,50,3,50
29,7,1,1,2,1,1,50,1
2,3,50,1,50,4,1,50,1
37,3,47,10,1,31,1,3,2
2,2,5,50,1,1,4,5,1
2,3,31,17,2,2,11,50,5
2,2,2,1,1,1,1,2,3
2,3,1,1,50,1,1,1,2
2,2,2,2,26,1,1,1,1
1,45,6,35,50,6,2,50,50
2,3,8,12,50,5,6,2,50
50,2,4,4,2,50,50,1,5
2,2,3,2,1,50,50,36,50
39,12,6,6,1,50,7,1,2
2,45,1,1,36,22,2,50,3
5,38,1,1,4,3,50,3,50
11,2,33,1,50,1,33,1,2
2,1,36,2,50,2,50,1,3
