538740 

ToM0, ToM1, ToM2
59,1,0
60,0,0

 Dominance frequency 
0.9692654368881579,0.006554157648744668,0.027898326100433975

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
5000,5000,2500
2500,2500,5000
2500,2500,2500
2500,2500,2500
2500,5000,5000
7500,2500,2500
2500,7500,2500
2500,5000,5000
7500,7500,5000
2500,7500,2500
5000,10000,5000
2500,2500,7500
2500,2500,2500
2500,10000,7500
10000,10000,5000
2500,15000,2500
2500,17500,10000
2500,5000,10000
30000,5000,5000
27500,10000,10000
2500,17500,2500
2500,2500,2500
5000,2500,7500
2500,20000,2500
2500,2500,5000
2500,2500,2500
2500,22500,2500
5000,22500,15000
5000,20000,2500
2500,27500,2500
30000,2500,7500
2500,2500,5000
2500,12500,2500
5000,5000,2500
2500,2500,2500
2500,32500,10000
2500,7500,7500
2500,2500,5000
42500,2500,2500
5000,2500,12500
22500,37500,2500
2500,32500,20000
42500,2500,20000
7500,2500,15000
2500,2500,25000
2500,5000,20000
12500,5000,25000
2500,25000,5000
2500,55000,2500
62500,45000,2500
57500,32500,2500
70000,42500,2500
35000,27500,15000
27500,2500,2500
62500,2500,25000
2500,2500,2500
85000,77500,2500
2500,2500,27500
45000,82500,2500
2500,107500,40000
5000,2500,40000
60000,2500,2500
82500,45000,45000
72500,120000,42500
2500,137500,12500
2500,150000,7500
20000,157500,70000
95000,2500,90000
5000,80000,65000
80000,2500,22500
20000,32500,5000
2500,2500,45000
120000,27500,2500
97500,175000,22500
2500,170000,17500
2500,100000,157500
2500,2500,45000
35000,22500,2500
127500,127500,2500
2500,317500,245000
62500,142500,57500
27500,395000,2500
95000,127500,2500
7500,2500,62500
2500,2500,
110000,277500,
72500,,
2500,,
142500,,
65000,,
172500,,
2500,,
175000,,
145000,,
2500,,
2500,,
2500,,
130000,,
70000,,
2500,,
2500,,
2500,,
2500,,
47500,,
180000,,
227500,,
2500,,
2500,,
2500,,
2500,,
50000,,
170000,,
2500,,
2500,,
5000,,
242500,,
190000,,
12500,,
152500,,
250000,,
60000,,
250000,,
105000,,
2500,,
5000,,
2500,,
225000,,
172500,,
5000,,
60000,,
5000,,
237500,,
27500,,
5000,,
165000,,
262500,,
2500,,
190000,,
167500,,
17500,,
160000,,
25000,,
170000,,
260000,,
192500,,
147500,,
5000,,
272500,,
260000,,
2500,,
2500,,
2500,,
15000,,
100000,,
2500,,
150000,,
2500,,
2500,,
40000,,
115000,,
2500,,
315000,,
5000,,
2500,,
35000,,
342500,,
242500,,
7500,,
135000,,
50000,,
2500,,
2500,,
2500,,
90000,,
100000,,
2500,,
2500,,
125000,,
310000,,
327500,,
305000,,
2500,,
350000,,
2500,,
100000,,
2500,,
2500,,
287500,,
135000,,
2500,,
42500,,
40000,,
37500,,
310000,,
2500,,
227500,,
2500,,
5000,,
92500,,
27500,,
42500,,
2500,,
27500,,
147500,,
7500,,
2500,,
5000,,
15000,,
420000,,
92500,,
107500,,
50000,,
200000,,
65000,,
2500,,
205000,,
327500,,
320000,,
2500,,
210000,,
52500,,
155000,,
2500,,
2500,,
2500,,
2500,,
132500,,
2500,,
2500,,
55000,,
115000,,
52500,,
2500,,
2500,,
250000,,
12500,,
62500,,
2500,,
2500,,
2500,,
2500,,
5000,,
247500,,
2500,,
85000,,
340000,,
42500,,
280000,,
2500,,
17500,,
2500,,
260000,,
227500,,
2500,,
137500,,
467500,,
57500,,
20000,,
282500,,
2500,,
165000,,
22500,,
449640,,
416129,,
398749,,
387289,,
383187,,
379584,,
369671,,
364403,,
351863,,
350621,,
316801,,
293043,,
270895,,
269745,,
268830,,
253543,,
251094,,
239058,,
187364,,
172858,,
162513,,
153811,,
151682,,
144842,,
117871,,
115105,,
113102,,
111606,,
109593,,
103672,,
98856,,
97297,,
84199,,
81433,,
75754,,
73784,,
72265,,
67363,,
58238,,
57006,,
49300,,
40399,,
38041,,
36928,,
34555,,
32518,,
31445,,
28017,,
27882,,
24570,,
24411,,
23155,,
20876,,
17132,,
10360,,
7599,,
7080,,
4866,,
1438,,
0,,

 Negotiation Lengths 
Negotiation lengths 
 0-0, 0-1,0-2,1-0,1-1,1-2,2-0,2-1,2-2 
6,3,5,2,50,50,8,50,3
6,50,3,2,1,4,2,2,3
4,2,2,4,50,50,15,38,3
50,2,2,10,50,1,7,50,8
48,34,39,1,50,50,6,3,50
9,17,3,4,50,50,15,21,50
6,2,5,16,44,50,28,50,5
2,3,47,4,50,50,4,31,34
1,3,15,1,50,50,1,50,50
50,3,50,6,1,50,1,50,1
2,3,3,12,50,50,1,2,50
35,47,2,6,50,50,1,1,30
11,38,3,21,50,2,1,50,1
31,5,50,4,40,50,50,19,50
50,3,50,4,1,50,15,3,50
9,3,2,10,1,16,2,1,3
11,7,49,2,50,50,1,1,2
50,3,18,10,50,36,20,29,2
50,36,3,4,2,50,50,50,50
5,2,10,1,50,2,10,50,2
23,3,2,1,50,50,17,3,7
7,33,7,10,2,50,23,1,50
7,3,1,50,50,50,50,3,50
50,46,18,4,2,50,50,5,9
9,13,3,6,50,2,13,50,1
2,2,3,1,3,2,7,4,50
50,5,20,2,2,1,1,50,50
15,3,3,4,2,50,4,50,1
1,5,10,2,38,50,7,3,2
31,50,31,3,4,50,6,23,3
1,3,1,1,42,50,1,50,1
50,50,8,2,3,50,8,2,2
7,42,2,50,18,50,1,3,2
2,5,2,50,2,1,6,50,3
7,3,2,1,4,50,1,1,1
31,2,50,13,1,2,3,3,50
3,2,47,50,1,1,1,3,50
2,2,2,2,50,1,12,2,50
2,2,2,50,2,2,7,3,50
50,47,2,4,2,50,11,1,2
1,3,2,1,50,1,34,20,3
45,28,19,4,50,50,10,50,3
2,45,2,2,50,1,1,3,1
25,36,50,2,2,2,1,1,3
4,2,3,1,3,50,8,1,1
21,2,1,2,50,50,50,1,50
48,31,3,50,50,4,4,2,2
2,7,50,50,3,2,2,50,3
50,2,2,7,1,3,1,3,3
35,3,2,6,1,1,1,1,1
