1642431 

ToM0, ToM1, ToM2
59,1,0
60,0,0

 Dominance frequency 
0.9999470298027378,1.3090336105034422E-4,1.4003615368176357E-5

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
5000,2500,2500
2500,2500,7500
2500,7500,7500
12500,10000,7500
2500,10000,10000
7500,7500,10000
5000,7500,12500
2500,15000,2500
2500,20000,15000
2500,2500,12500
2500,2500,2500
42500,2500,2500
45000,2500,10000
47500,40000,17500
7500,22500,17500
42500,45000,10000
7500,2500,22500
55000,20000,5000
60000,2500,20000
40000,62500,25000
2500,35000,25000
47500,65000,10000
2500,2500,7500
2500,75000,35000
5000,2500,2500
70000,37500,32500
65000,2500,62500
2500,95000,67500
42500,92500,35000
2500,112500,70000
2500,2500,10000
2500,142500,17500
97500,25000,10000
45000,2500,17500
20000,32500,50000
2500,72500,82500
2500,177500,130000
40000,25000,135000
120000,2500,5000
125000,2500,52500
127500,215000,192500
2500,110000,2500
127500,15000,2500
130000,2500,2500
2500,52500,2500
2500,12500,
7500,202500,
7500,255000,
2500,67500,
2500,87500,
145000,2500,
2500,10000,
25000,2500,
145000,150000,
2500,362500,
2500,492500,
70000,22500,
2500,15000,
2500,2500,
7500,2500,
5000,367500,
12500,232500,
125000,20000,
182500,2500,
165000,2500,
200000,2500,
170000,237500,
160000,90000,
2500,2500,
2500,120000,
60000,12500,
20000,480000,
2500,45000,
2500,2500,
32500,72500,
122500,2500,
2500,2500,
2500,90000,
217500,2500,
2500,62500,
2500,2500,
32500,47500,
145000,2500,
2500,135000,
127500,245000,
40000,115000,
250000,2500,
2500,105000,
257500,162500,
247500,2500,
227500,290000,
72500,162500,
2500,77500,
2500,60000,
67500,2500,
2500,142500,
165000,42500,
5000,620000,
70000,315000,
40000,135000,
262500,2500,
65000,57500,
2500,172500,
5000,45000,
2500,2500,
2500,420000,
27500,277500,
287500,2500,
2500,2500,
287500,2500,
2500,2500,
2500,7500,
2500,455000,
2500,475000,
252500,285000,
2500,2500,
50000,532500,
45000,182500,
2500,410000,
2500,547500,
110000,250000,
5000,,
252500,,
87500,,
22500,,
55000,,
2500,,
70000,,
210000,,
32500,,
2500,,
335000,,
155000,,
352500,,
2500,,
282500,,
352500,,
2500,,
137500,,
40000,,
30000,,
12500,,
2500,,
275000,,
82500,,
15000,,
2500,,
17500,,
255000,,
305000,,
390000,,
65000,,
2500,,
2500,,
2500,,
382500,,
2500,,
410000,,
2500,,
227500,,
2500,,
2500,,
2500,,
125000,,
2500,,
312500,,
227500,,
102500,,
7500,,
397500,,
367500,,
2500,,
190000,,
2500,,
2500,,
137500,,
22500,,
2500,,
2500,,
2500,,
12500,,
240000,,
422500,,
227500,,
2500,,
210000,,
32500,,
75000,,
2500,,
2500,,
297500,,
202500,,
272500,,
7500,,
2500,,
75000,,
165000,,
2500,,
95000,,
447500,,
2500,,
102500,,
75000,,
77500,,
2500,,
185000,,
2500,,
2500,,
245000,,
207500,,
197500,,
37500,,
212500,,
5000,,
7500,,
2500,,
17500,,
287500,,
312500,,
5000,,
2500,,
182500,,
2500,,
222500,,
25000,,
30000,,
65000,,
232500,,
2500,,
155000,,
92500,,
22500,,
50000,,
2500,,
410000,,
2500,,
2500,,
2500,,
5000,,
10000,,
460000,,
10000,,
630000,,
2500,,
637500,,
15000,,
347500,,
67500,,
355000,,
2500,,
27500,,
277500,,
7500,,
2500,,
2500,,
175000,,
102500,,
70000,,
170000,,
2500,,
187500,,
2500,,
2500,,
2500,,
2500,,
382500,,
152500,,
227500,,
5000,,
562500,,
665000,,
332500,,
167500,,
17500,,
2500,,
2500,,
222500,,
232500,,
625000,,
447500,,
2500,,
52500,,
2500,,
112500,,
10000,,
5000,,
102500,,
2500,,
2500,,
2500,,
125000,,
2500,,
2500,,
2500,,
2500,,
297500,,
145000,,
2500,,
167500,,
17500,,
605000,,
10000,,
785000,,
40000,,
87500,,
72500,,
2500,,
247500,,
260000,,
487500,,
2500,,
32500,,
305000,,
10000,,
135000,,
30000,,
407500,,
87500,,
82500,,
762500,,
10000,,
322500,,
30000,,
407500,,
170000,,
525000,,
452500,,
182500,,
67500,,
140000,,
2500,,
900000,,
2500,,
45000,,
2500,,
297500,,
100000,,
265000,,
2500,,
2500,,
237500,,
182500,,
105000,,
255000,,
2500,,
2500,,
15000,,
2500,,
65000,,
10000,,
260000,,
5000,,
2500,,
147500,,
47500,,
235000,,
2500,,
110000,,
2500,,
217500,,
2500,,
2500,,
2500,,
725000,,
2500,,
2500,,
45000,,
5000,,
342500,,
32500,,
50000,,
32500,,
47500,,
2500,,
165000,,
67500,,
2500,,
45000,,
462500,,
2500,,
55000,,
102500,,
215000,,
12500,,
15000,,
200000,,
2500,,
2500,,
287500,,
50000,,
2500,,
2500,,
2500,,
2500,,
7500,,
20000,,
505000,,
295000,,
122500,,
107500,,
2500,,
2500,,
477500,,
7500,,
75000,,
47500,,
2500,,
7500,,
490000,,
22500,,
35000,,
2500,,
97500,,
17500,,
27500,,
470000,,
2500,,
5000,,
522500,,
122500,,
170000,,
7500,,
80000,,
2500,,
2500,,
260000,,
2500,,
2500,,
2500,,
287500,,
95000,,
2500,,
257500,,
177500,,
85000,,
150000,,
487500,,
2500,,
22500,,
2500,,
47500,,
60000,,
10000,,
207500,,
312500,,
70000,,
695000,,
490000,,
2500,,
445000,,
2500,,
2500,,
15000,,
17500,,
242500,,
227500,,
102500,,
5000,,
37500,,
75000,,
7500,,
2500,,
75000,,
1025000,,
107500,,
2500,,
32500,,
2500,,
472500,,
2500,,
190000,,
2500,,
150000,,
2500,,
75000,,
55000,,
57500,,
2500,,
2500,,
195000,,
702500,,
97500,,
77500,,
547500,,
575000,,
132500,,
200000,,
142500,,
20000,,
67500,,
17500,,
2500,,
162500,,
32500,,
445000,,
2500,,
2500,,
212500,,
2500,,
2500,,
92500,,
5000,,
2500,,
390000,,
165000,,
85000,,
125000,,
5000,,
2500,,
142500,,
137500,,
15000,,
140000,,
2500,,
