747326 

ToM0, ToM1, ToM2
59,0,1
60,0,0

 Dominance frequency 
1.0,2.676201079044275E-6,1.4183865718934657E-4

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
5000,2500,2500
2500,5000,2500
7500,2500,2500
2500,2500,7500
2500,5000,2500
2500,2500,7500
5000,10000,7500
2500,10000,2500
2500,7500,2500
2500,2500,7500
30000,2500,2500
2500,2500,2500
2500,15000,5000
30000,2500,7500
2500,2500,17500
17500,15000,17500
2500,20000,2500
2500,2500,20000
2500,2500,22500
2500,12500,2500
2500,20000,30000
70000,2500,30000
27500,17500,25000
2500,2500,25000
2500,27500,27500
30000,2500,45000
2500,2500,2500
77500,2500,35000
5000,32500,45000
45000,47500,2500
2500,2500,47500
2500,2500,17500
100000,50000,2500
2500,65000,10000
57500,67500,45000
115000,2500,7500
115000,2500,17500
2500,37500,50000
75000,7500,82500
7500,2500,17500
2500,75000,95000
125000,2500,62500
100000,2500,117500
2500,10000,45000
2500,45000,115000
105000,2500,32500
32500,10000,135000
2500,10000,5000
50000,180000,215000
52500,172500,2500
7500,2500,57500
10000,15000,10000
142500,202500,10000
20000,22500,5000
2500,27500,72500
2500,105000,270000
2500,2500,2500
2500,62500,77500
150000,7500,2500
115000,207500,
2500,67500,
162500,92500,
162500,300000,
57500,2500,
25000,307500,
122500,2500,
167500,10000,
132500,2500,
2500,2500,
2500,12500,
102500,2500,
2500,62500,
10000,2500,
2500,10000,
7500,195000,
127500,70000,
2500,32500,
2500,135000,
2500,60000,
2500,40000,
15000,122500,
72500,20000,
25000,2500,
2500,2500,
5000,180000,
170000,80000,
195000,72500,
137500,2500,
52500,2500,
2500,40000,
195000,190000,
70000,365000,
22500,152500,
70000,450000,
217500,190000,
17500,17500,
2500,72500,
220000,220000,
90000,300000,
50000,52500,
227500,27500,
135000,307500,
160000,55000,
47500,357500,
2500,,
130000,,
87500,,
102500,,
222500,,
2500,,
5000,,
112500,,
25000,,
2500,,
115000,,
282500,,
10000,,
40000,,
117500,,
2500,,
2500,,
130000,,
125000,,
300000,,
2500,,
52500,,
172500,,
37500,,
2500,,
5000,,
90000,,
77500,,
67500,,
2500,,
2500,,
2500,,
2500,,
2500,,
5000,,
185000,,
2500,,
97500,,
135000,,
2500,,
252500,,
32500,,
2500,,
2500,,
2500,,
70000,,
135000,,
367500,,
352500,,
77500,,
240000,,
365000,,
2500,,
2500,,
95000,,
290000,,
215000,,
55000,,
20000,,
42500,,
2500,,
107500,,
175000,,
2500,,
200000,,
235000,,
2500,,
280000,,
80000,,
102500,,
57500,,
167500,,
5000,,
247500,,
52500,,
2500,,
50000,,
202500,,
150000,,
2500,,
40000,,
145000,,
57500,,
2500,,
40000,,
2500,,
280000,,
27500,,
5000,,
372500,,
22500,,
170000,,
480000,,
40000,,
10000,,
77500,,
2500,,
2500,,
2500,,
400000,,
105000,,
215000,,
50000,,
2500,,
32500,,
145000,,
5000,,
155000,,
75000,,
92500,,
2500,,
2500,,
67500,,
30000,,
22500,,
532500,,
10000,,
2500,,
77500,,
12500,,
2500,,
2500,,
97500,,
2500,,
5000,,
2500,,
155000,,
5000,,
2500,,
227500,,
2500,,
7500,,
2500,,
135000,,
2500,,
60000,,
97500,,
2500,,
7500,,
232500,,
190000,,
190000,,
5000,,
7500,,
7500,,
57500,,
2500,,
67500,,
287500,,
2500,,
567500,,
267500,,
5000,,
2500,,
5000,,
2500,,
2500,,
2500,,
2500,,
2500,,
112500,,
327500,,
62500,,
10000,,
27500,,
225000,,
2500,,
547500,,
2500,,
272500,,
172500,,
7500,,
32500,,
50000,,
140000,,
167500,,
2500,,
37500,,
20000,,
92500,,
272500,,
2500,,
317500,,
470000,,
72500,,
7500,,
2500,,
5000,,
70000,,
35000,,
185000,,
2500,,
2500,,
297500,,
2500,,
2500,,
375000,,
220000,,
35000,,
2500,,
57500,,
35000,,
172500,,
217500,,
82500,,
5000,,
45000,,
2500,,
152500,,
2500,,
712500,,
2500,,
177500,,
107500,,
2500,,
2500,,
85000,,
2500,,
2500,,
145000,,
5000,,
2500,,
247500,,
45000,,
67500,,
2500,,
2500,,
2500,,
2500,,
7500,,
112500,,
2500,,
2500,,
2500,,
2500,,
25000,,
122500,,
747966,,
745115,,
560183,,
531268,,
409012,,
381701,,
380267,,
367362,,
364696,,
329825,,
295203,,
291618,,
287774,,
273259,,
249681,,
243597,,
230683,,
198863,,
198247,,
190773,,
183887,,
164998,,
155315,,
146638,,
145393,,
141604,,
139023,,
111845,,
110247,,
109894,,
104368,,
93135,,
82915,,
81343,,
77440,,
72373,,
66053,,
