704276 

ToM0, ToM1, ToM2
59,1,0
60,0,0

 Dominance frequency 
1.0,4.202885792258171E-4,1.760668372432477E-4

  Ages 
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,2500
2500,2500,5000
2500,2500,7500
2500,5000,5000
2500,2500,10000
2500,2500,2500
5000,2500,10000
2500,5000,2500
7500,2500,2500
2500,2500,2500
10000,7500,2500
2500,2500,7500
2500,2500,2500
12500,2500,2500
20000,15000,22500
2500,15000,2500
5000,12500,30000
30000,2500,30000
27500,2500,2500
22500,7500,2500
2500,20000,5000
2500,17500,20000
30000,2500,45000
2500,2500,50000
2500,12500,27500
2500,25000,10000
2500,25000,27500
2500,2500,70000
30000,27500,27500
37500,12500,72500
30000,20000,2500
17500,12500,65000
40000,2500,45000
2500,2500,55000
17500,35000,110000
50000,37500,10000
15000,2500,17500
5000,47500,132500
60000,60000,2500
2500,60000,157500
2500,55000,2500
2500,2500,5000
52500,2500,7500
2500,2500,22500
2500,100000,95000
75000,97500,27500
27500,137500,527500
52500,155000,
2500,122500,
77500,27500,
25000,105000,
2500,2500,
65000,332500,
55000,65000,
2500,277500,
97500,115000,
40000,80000,
27500,77500,
2500,610000,
85000,240000,
10000,,
2500,,
2500,,
2500,,
57500,,
2500,,
2500,,
2500,,
72500,,
10000,,
2500,,
2500,,
55000,,
47500,,
2500,,
2500,,
2500,,
135000,,
140000,,
120000,,
10000,,
2500,,
132500,,
2500,,
2500,,
130000,,
2500,,
157500,,
2500,,
5000,,
152500,,
2500,,
80000,,
170000,,
15000,,
45000,,
172500,,
15000,,
170000,,
2500,,
2500,,
92500,,
70000,,
2500,,
2500,,
2500,,
5000,,
2500,,
22500,,
2500,,
132500,,
145000,,
12500,,
2500,,
7500,,
55000,,
140000,,
60000,,
242500,,
220000,,
190000,,
160000,,
265000,,
235000,,
22500,,
230000,,
5000,,
212500,,
82500,,
112500,,
100000,,
2500,,
2500,,
120000,,
92500,,
150000,,
167500,,
140000,,
2500,,
2500,,
2500,,
2500,,
2500,,
2500,,
135000,,
2500,,
297500,,
215000,,
190000,,
150000,,
210000,,
2500,,
2500,,
2500,,
2500,,
322500,,
5000,,
155000,,
205000,,
62500,,
297500,,
337500,,
15000,,
302500,,
2500,,
305000,,
5000,,
285000,,
87500,,
50000,,
105000,,
145000,,
172500,,
2500,,
22500,,
20000,,
152500,,
185000,,
150000,,
45000,,
2500,,
90000,,
97500,,
57500,,
2500,,
40000,,
2500,,
317500,,
5000,,
7500,,
2500,,
2500,,
2500,,
35000,,
25000,,
2500,,
2500,,
102500,,
287500,,
2500,,
5000,,
2500,,
125000,,
2500,,
307500,,
125000,,
45000,,
225000,,
2500,,
2500,,
100000,,
10000,,
2500,,
2500,,
255000,,
80000,,
50000,,
82500,,
2500,,
52500,,
467500,,
237500,,
40000,,
242500,,
150000,,
7500,,
182500,,
2500,,
525000,,
5000,,
45000,,
170000,,
70000,,
545000,,
182500,,
2500,,
2500,,
35000,,
10000,,
20000,,
110000,,
297500,,
470000,,
17500,,
2500,,
265000,,
25000,,
2500,,
2500,,
82500,,
5000,,
2500,,
322500,,
10000,,
42500,,
475000,,
195000,,
277500,,
105000,,
5000,,
315000,,
2500,,
120000,,
145000,,
2500,,
2500,,
2500,,
2500,,
155000,,
145000,,
7500,,
2500,,
497500,,
10000,,
20000,,
395000,,
2500,,
2500,,
222500,,
7500,,
302500,,
62500,,
675053,,
672667,,
662499,,
653625,,
634734,,
618855,,
576056,,
544500,,
534383,,
438824,,
437156,,
431036,,
426539,,
421558,,
410362,,
395717,,
372952,,
364034,,
352629,,
350144,,
335039,,
333127,,
331147,,
327082,,
320215,,
313758,,
276387,,
266526,,
220575,,
216961,,
205444,,
178465,,
172595,,
161234,,
146192,,
144577,,
126877,,
118543,,
103429,,
100793,,
98842,,
98817,,
94622,,
93117,,
91991,,
69352,,
62241,,
57557,,
53022,,
41653,,
37324,,
36959,,
36149,,
32842,,
30160,,
3498,,
3032,,
1600,,
210,,
0,,

 Negotiation Lengths 
Negotiation lengths 
 0-0, 0-1,0-2,1-0,1-1,1-2,2-0,2-1,2-2 
6,2,5,6,50,50,6,50,50
50,11,2,9,3,4,2,1,5
2,3,10,1,50,50,8,50,50
7,15,50,1,50,50,2,50,1
8,5,2,8,1,50,4,38,18
50,3,11,24,1,2,7,50,50
2,38,3,2,50,2,50,2,1
50,5,2,24,1,50,2,50,50
2,3,3,4,50,4,50,1,2
50,3,3,41,29,50,2,50,1
2,3,47,4,1,4,2,38,3
17,3,7,2,50,50,11,50,3
6,2,2,1,2,2,48,50,3
6,9,50,1,22,50,4,1,3
8,16,2,50,50,50,8,50,50
3,50,7,8,50,20,5,50,4
7,5,10,1,50,50,2,5,3
2,3,50,4,1,1,2,3,3
50,3,26,1,50,6,4,3,50
11,5,3,1,1,50,10,50,2
2,1,3,2,50,2,1,2,2
50,3,5,41,50,50,1,1,4
3,3,2,12,1,5,13,3,50
2,43,50,50,50,4,50,2,1
41,1,50,20,50,2,3,3,2
50,11,3,4,50,7,50,1,1
11,16,5,6,2,50,9,50,50
9,50,50,50,3,50,5,50,3
11,3,2,4,1,11,50,2,50
7,1,2,3,1,50,1,1,1
11,3,5,50,50,50,50,50,2
13,5,10,4,19,50,1,1,1
29,31,6,22,1,50,11,1,1
3,2,50,8,50,1,1,50,50
50,3,9,50,2,1,12,50,5
50,3,5,50,2,1,1,1,2
39,5,1,4,50,3,50,2,3
2,2,8,1,4,50,2,17,1
4,2,2,1,2,1,1,1,50
5,3,2,1,1,50,1,29,1
50,2,2,1,50,2,50,50,2
2,3,43,35,50,3,2,1,50
12,3,2,1,2,2,1,1,1
2,2,5,37,4,1,5,50,2
31,3,2,3,50,50,13,50,2
6,2,2,12,3,3,1,2,3
1,3,7,1,34,7,21,1,50
35,3,3,10,50,50,1,2,2
4,5,3,50,2,4,1,1,50
50,21,10,50,4,2,1,2,25
25,2,14,50,3,3,1,50,2
2,2,2,1,2,4,1,5,50
47,2,2,3,1,3,1,2,3
